Generation,Best_Fitness
1,5.434084683213609
2,5.434084683213609
3,5.434084683213609
4,3.5188562447084593
5,3.2785145856948645
6,3.2785145856948645
7,1.694284999118345
8,1.694284999118345
9,1.694284999118345
10,1.694284999118345
11,1.694284999118345
12,1.694284999118345
13,1.694284999118345
14,1.694284999118345
15,1.694284999118345
16,1.694284999118345
17,1.694284999118345
18,1.2080989953975632
19,1.2080989953975632
20,1.2080989953975632
21,1.2080989953975632
22,1.2080989953975632
23,1.2080989953975632
24,0.09914157904602305
25,0.09914157904602305
26,0.09914157904602305
27,0.09914157904602305
28,0.09914157904602305
29,0.09914157904602305
30,0.09914157904602305
31,0.09914157904602305
32,0.09914157904602305
33,0.09914157904602305
34,0.09914157904602305
35,0.09914157904602305
36,0.01197528020131955
37,0.01197528020131955
38,0.01197528020131955
39,0.01197528020131955
40,0.01197528020131955
41,0.01197528020131955
42,0.01197528020131955
43,0.01197528020131955
44,0.01197528020131955
45,0.01197528020131955
46,0.01197528020131955
47,0.01197528020131955
48,0.01197528020131955
49,0.01197528020131955
50,0.01197528020131955
51,0.01197528020131955
52,0.01197528020131955
53,0.01197528020131955
54,0.01197528020131955
55,0.01197528020131955
56,0.01197528020131955
57,0.01197528020131955
58,0.01197528020131955
59,0.00870732538560759
60,0.00870732538560759
61,0.008332302688508264
62,0.0054355039934144145
63,0.0036022520576466377
64,0.0007334653438988425
65,2.3997938818354214e-06
66,2.3997938818354214e-06
67,2.3997938818354214e-06
68,2.3997938818354214e-06
69,2.3997938818354214e-06
70,2.3997938818354214e-06
71,2.3997938818354214e-06
72,2.3997938818354214e-06
73,2.3997938818354214e-06
74,2.3997938818354214e-06
75,2.3997938818354214e-06
76,2.3997938818354214e-06
77,2.3997938818354214e-06
78,2.3997938818354214e-06
79,2.3997938818354214e-06
80,2.3997938818354214e-06
81,6.083026597991648e-07
82,6.083026597991648e-07
83,6.005840695877396e-07
84,5.984453821383795e-09
85,5.984453821383795e-09
86,5.984453821383795e-09
87,5.984453821383795e-09
88,5.984453821383795e-09
89,5.984453821383795e-09
90,5.984453821383795e-09
91,5.984453821383795e-09
92,5.984453821383795e-09
93,5.984453821383795e-09
94,5.984453821383795e-09
95,1.4762733258066874e-09
96,1.113189540546955e-09
97,3.142375248899043e-10
98,3.142375248899043e-10
99,4.132516551180743e-11
100,4.132516551180743e-11
101,4.132516551180743e-11
102,4.132516551180743e-11
103,4.132516551180743e-11
104,4.132516551180743e-11
105,4.132516551180743e-11
106,2.8393287720973603e-11
107,1.3667289522345527e-11
108,1.0327738664273056e-11
109,1.2612133559741778e-12
110,1.2612133559741778e-12
111,1.2612133559741778e-12
112,1.2612133559741778e-12
113,2.0961010704922955e-13
114,2.0961010704922955e-13
115,1.2434497875801753e-13
116,1.2434497875801753e-13
117,1.2434497875801753e-13
118,1.0658141036401503e-14
119,1.0658141036401503e-14
120,1.0658141036401503e-14
121,1.0658141036401503e-14
122,1.0658141036401503e-14
123,1.0658141036401503e-14
124,1.0658141036401503e-14
125,3.552713678800501e-15
126,3.552713678800501e-15
127,3.552713678800501e-15
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
