Generation,Best_Fitness
1,5.018571706548041
2,3.10356017572089
3,3.10356017572089
4,2.10015949068622
5,2.10015949068622
6,1.6143861038000615
7,1.6143861038000615
8,1.6143861038000615
9,1.6143861038000615
10,1.6143861038000615
11,1.6143861038000615
12,1.6143861038000615
13,1.6143861038000615
14,1.6143861038000615
15,1.6143861038000615
16,1.6143861038000615
17,1.6143861038000615
18,1.4408557884445798
19,1.4408557884445798
20,1.4408557884445798
21,1.4408557884445798
22,1.3230245371576288
23,1.3230245371576288
24,1.3230245371576288
25,1.3230245371576288
26,1.3230245371576288
27,1.3230245371576288
28,1.3230245371576288
29,1.0970946092363398
30,1.0970946092363398
31,1.0970946092363398
32,1.0970946092363398
33,1.0970946092363398
34,1.0970946092363398
35,1.0970946092363398
36,1.0970946092363398
37,0.3805340742521146
38,0.3805340742521146
39,0.3805340742521146
40,0.3805340742521146
41,0.3805340742521146
42,0.3805340742521146
43,0.3708300985510462
44,0.3708300985510462
45,0.3708300985510462
46,0.3708300985510462
47,0.3708300985510462
48,0.3708300985510462
49,0.13503123697445218
50,0.13503123697445218
51,0.13503123697445218
52,0.13503123697445218
53,0.13503123697445218
54,0.048802253963547315
55,0.048802253963547315
56,0.048802253963547315
57,0.015489275487809095
58,0.015489275487809095
59,0.015489275487809095
60,0.015489275487809095
61,0.015489275487809095
62,0.015489275487809095
63,0.015489275487809095
64,0.015489275487809095
65,0.015489275487809095
66,0.015489275487809095
67,0.006321814918113233
68,0.006321814918113233
69,0.006321814918113233
70,0.002106217808634625
71,0.0018150871709572414
72,0.0018150871709572414
73,0.0018150871709572414
74,0.0018150871709572414
75,0.0012276082370910046
76,0.0012276082370910046
77,0.0012276082370910046
78,0.0012276082370910046
79,0.0012276082370910046
80,0.0012276082370910046
81,0.0012276082370910046
82,0.0012276082370910046
83,0.0012276082370910046
84,0.0012276082370910046
85,0.0012276082370910046
86,0.0009460032735582047
87,0.0006938340494073714
88,0.0006938340494073714
89,0.0002665736245788253
90,0.0002665736245788253
91,0.0002665736245788253
92,0.0002665736245788253
93,0.0002665736245788253
94,0.0002665736245788253
95,0.0002665736245788253
96,0.0002665736245788253
97,0.0002665736245788253
98,0.0002665736245788253
99,0.0002665736245788253
100,1.0024334908820265e-05
101,1.0024334908820265e-05
102,1.0024334908820265e-05
103,1.0024334908820265e-05
104,1.0024334908820265e-05
105,6.827500040884615e-06
106,6.827500040884615e-06
107,6.827500040884615e-06
108,6.827500040884615e-06
109,6.827500040884615e-06
110,3.2884481626638262e-06
111,3.2884481626638262e-06
112,3.2884481626638262e-06
113,3.2884481626638262e-06
114,2.990946523340199e-06
115,2.990946523340199e-06
116,2.7663777650843713e-06
117,2.7663777650843713e-06
118,4.010026763978658e-07
119,4.010026763978658e-07
120,4.010026763978658e-07
121,4.010026763978658e-07
122,4.010026763978658e-07
123,4.010026763978658e-07
124,1.9238758497408526e-07
125,1.9238758497408526e-07
126,1.9238758497408526e-07
127,4.840488543322863e-08
128,4.840488543322863e-08
129,4.840488543322863e-08
130,4.840488543322863e-08
131,4.840488543322863e-08
132,4.840488543322863e-08
133,4.840488543322863e-08
134,4.840488543322863e-08
135,9.886214513699088e-09
136,9.886214513699088e-09
137,3.743387821941724e-10
138,3.743387821941724e-10
139,3.743387821941724e-10
140,2.681233013390738e-11
141,2.681233013390738e-11
142,2.681233013390738e-11
143,2.681233013390738e-11
144,2.681233013390738e-11
145,2.681233013390738e-11
146,1.0462741784067475e-11
147,2.1813661987835076e-12
148,9.343636975245317e-13
149,9.343636975245317e-13
150,9.343636975245317e-13
151,9.343636975245317e-13
152,9.343636975245317e-13
153,9.343636975245317e-13
154,9.343636975245317e-13
155,9.343636975245317e-13
156,9.343636975245317e-13
157,9.343636975245317e-13
158,9.343636975245317e-13
159,9.343636975245317e-13
160,5.684341886080802e-14
161,5.684341886080802e-14
162,5.684341886080802e-14
163,5.684341886080802e-14
164,5.684341886080802e-14
165,5.684341886080802e-14
166,5.684341886080802e-14
167,5.684341886080802e-14
168,7.105427357601002e-15
169,7.105427357601002e-15
170,7.105427357601002e-15
171,7.105427357601002e-15
172,3.552713678800501e-15
173,3.552713678800501e-15
174,3.552713678800501e-15
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
